Counter,Date,Time,LatitudeSensor1,LongitudeSensor1,MagSensor1,Signal1,Track,LocationSource,Hdop,FixQuality, SatellitesUsed, Altitude,HeightOverEllipsoid,SpeedOverGround,MagneticVariation,VariationDirection,ModeIndicator,GgaSentence,RmcSentence,EventCode,EventInfo,EventText,EventData,,,,,,,,,,,,,,,,,,,,,,
15250,7/6/2022,26:20.8,43.9887745,-112.2965443,53099.479,1465,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15251,7/6/2022,26:20.9,43.9887745,-112.2965443,53099.597,1465,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15252,7/6/2022,26:21.0,43.9887745,-112.2965443,53099.6,1467,0,G,0.6,2,18,1482.59,-17,0,0, ,D,'$GPGGA,162621,4359.32647,N,11217.79266,W,2,18,0.6,1482.59,M,-17,M,,*6D','$GPRMC,162621,A,4359.32647,N,11217.79266,W,0,0,60722,,,D*7F'
15253,7/6/2022,26:21.1,43.9887745,-112.2965443,53099.671,1465,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15254,7/6/2022,26:21.2,43.9887745,-112.2965443,53099.525,1465,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15255,7/6/2022,26:21.3,43.9887745,-112.2965443,53099.48,1465,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15256,7/6/2022,26:21.4,43.9887745,-112.2965443,53099.335,1465,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15257,7/6/2022,26:21.5,43.9887745,-112.2965443,53099.429,1465,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15258,7/6/2022,26:21.6,43.9887745,-112.2965443,53099.431,1465,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15259,7/6/2022,26:21.7,43.9887745,-112.2965443,53099.648,1462,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15260,7/6/2022,26:21.8,43.9887745,-112.2965443,53100.079,1462,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15261,7/6/2022,26:21.9,43.9887745,-112.2965443,53100.967,1462,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15262,7/6/2022,26:22.0,43.9887745,-112.2965443,53101.329,1467,0,G,0.6,2,18,1482.59,-17,0.1,0, ,D,'$GPGGA,162622,4359.32647,N,11217.79266,W,2,18,0.6,1482.59,M,-17,M,,*6E','$GPRMC,162622,A,4359.32647,N,11217.79266,W,0.1,0,60722,,,D*7D'
15292,7/6/2022,26:25.0,43.9887745,-112.2965443,53100.295,1450,0,G,0.6,2,18,1482.59,-17,0.1,0, ,D,'$GPGGA,162625,4359.32647,N,11217.79266,W,2,18,0.6,1482.59,M,-17,M,,*69','$GPRMC,162625,A,4359.32647,N,11217.79266,W,0.1,0,60722,,,D*7A'
15293,7/6/2022,26:25.1,43.9887745,-112.2965443,53099.887,1453,347.7,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15294,7/6/2022,26:25.2,43.9887745,-112.2965443,53099.435,1455,335.4,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
