lat,lon,el_ft
43.99112862,-112.4182641,"4853.6	"
43.99109807,-112.4164131,"4857.7						"
43.99109736,-112.4164052,"4857.7						"
43.99109736,-112.4163984,"4857.7						"
43.99109736,-112.4163905,"4857.7						"
43.99109736,-112.4163865,"4857.7						"
43.99109666,-112.4163826,"4857.7						"
43.99109666,-112.4163767,"4857.7						"
43.99109666,-112.4163679,"4857.7						"
43.99109666,-112.416362,"4857.7						"
43.99109666,-112.4163541,"4857.8						"
43.99109666,-112.4163473,"4857.8						"
43.99109666,-112.4163414,"4857.8						"
43.99109666,-112.4163355,"4857.8						"
43.99109666,-112.4163276,"4857.8						"
43.99109666,-112.4163227,"4857.8						"
43.99109666,-112.4163178,"4857.8						"
43.99109666,-112.4163139,"4857.8						"
43.99109666,-112.416306,"4857.8						"
43.99109666,-112.4162981,"4857.9						"
43.99109666,-112.4162913,"4857.9						"
43.99109666,-112.4162864,"4857.9						"
43.99109666,-112.4162795,"4857.9						"
43.99109595,-112.4162716,"4857.9						"
43.99109595,-112.4162677,"4857.9						"
43.99109525,-112.4162589,"4857.9						"
43.99109525,-112.416252,"4857.9						"
43.99109524,-112.4162412,"4857.9						"
43.99109454,-112.4162344,"4858.0						"
43.99109454,-112.4162275,"4858.0						"
43.99109383,-112.4162157,"4858.0						"
43.99109383,-112.4162068,"4858.0						"
43.99109383,-112.416198,"4858.0						"
43.99109383,-112.4161881,"4858.0						"
43.99109383,-112.4161862,"4858.0						"
43.99109383,-112.4161803,"4858.0						"
43.99109383,-112.4161714,"4858.0						"
43.99109383,-112.4161626,"4858.0						"
43.99109383,-112.4161576,"4858.0						"
43.99109383,-112.4161518,"4858.1						"
43.99109383,-112.4161439,"4858.1						"
43.99109383,-112.41614,"4858.1						"
43.99109383,-112.4161272,"4858.1						"
43.99109383,-112.4161263,"4858.1						"
43.99109383,-112.4161223,"4858.1						"
43.99109383,-112.4161096,"4858.1						"
43.99109383,-112.4160939,"4858.1						"
43.99109383,-112.416089,"4858.1						"
43.99109383,-112.4160851,"4858.1						"
43.99109383,-112.4160802,"4858.1						"
43.99109383,-112.4160674,"4858.2						"
43.99109312,-112.4160606,"4858.2						"
43.99109312,-112.4160537,"4858.2						"
43.99109312,-112.4160508,"4858.2						"
43.99109312,-112.4160449,"4858.2						"
43.99109312,-112.416039,"4858.2						"
43.99109242,-112.4160312,"4858.2						"
43.99109242,-112.4160253,"4858.2						"
43.99109242,-112.4160174,"4858.2						"
43.99109242,-112.4160115,"4858.2						"
43.99109171,-112.4160037,"4858.2						"
43.99109171,-112.4159998,"4858.2						"
43.99109171,-112.415991,"4858.2						"
43.991091,-112.4159851,"4858.3						"
43.99108959,-112.4159763,"4858.3						"
43.99108888,-112.4159665,"4858.3						"
43.99108747,-112.4159567,"4858.3						"
43.99108959,-112.4159424,"4858.3						"
43.99108888,-112.4159365,"4858.3						"
43.99108888,-112.4159277,"4858.4						"
43.99108888,-112.4159257,"4858.4						"
43.99108888,-112.4159149,"4858.4						"
43.99108888,-112.415912,"4858.4						"
43.99108818,-112.415909,"4858.4						"
43.99108747,-112.4159031,"4858.4						"
43.99108747,-112.4158992,"4858.4						"
43.99108676,-112.4158943,"4858.4						"
43.99108606,-112.4158845,"4858.5						"
43.99108535,-112.4158796,"4858.5						"
43.99108464,-112.4158707,"4858.5						"
