lon,lat,easting,northing
-112.3017245,43.99818436,395631,4872494
-112.3019315,43.99851351,395615,4872531
-112.3023655,43.99884687,395581,4872569
-112.3026939,43.99909565,395555,4872597
-112.3030183,43.99934611,395530,4872625
-112.3033365,43.99967844,395505,4872662
-112.3036548,44.00001085,395480,4872700
-112.3040907,44.0002648,395445,4872728
-112.3044118,44.00059581,395420,4872766
-112.3047381,44.00084556,395394,4872794
-112.3050648,44.00109493,395369,4872822
-112.3053853,44.00150514,395344,4872868
-112.3058224,44.00183667,395309,4872905
-112.3060318,44.00216486,395293,4872942
-112.306239,44.00249451,395277,4872979
-112.3065509,44.00290998,395253,4873025
-112.3069796,44.00332532,395219,4873072
-112.3074081,44.00374102,395185,4873119
-112.3076188,44.00399047,395169,4873147
-112.3080477,44.00440601,395135,4873193
-112.3084844,44.0047376,395101,4873231
-112.3089093,44.00515653,395068,4873278
-112.3093343,44.00557579,395034,4873325
-112.3097714,44.00582976,395000,4873354
-112.3102013,44.00624497,394966,4873400
-112.3103053,44.00641014,394958,4873419
-112.3106267,44.00674166,394933,4873456
-112.3109486,44.00707311,394908,4873493
-112.3112696,44.00740557,394882,4873531
-112.3115926,44.00765895,394857,4873559
-112.311808,44.00782791,394840,4873578
-112.3122395,44.00816553,394806,4873616
-112.3126719,44.00850229,394772,4873654
-112.3128842,44.00875182,394755,4873682
-112.3133178,44.00908681,394721,4873720
-112.3136484,44.00925555,394695,4873739
-112.3139786,44.00942504,394669,4873758
-112.3144215,44.00959624,394634,4873778
-112.315085,44.00985452,394581,4873807
-112.3155214,44.0101109,394546,4873837
-112.3159715,44.01012094,394510,4873838
-112.3164178,44.01021178,394475,4873849
-112.3170899,44.01030659,394421,4873860
-112.3176535,44.01031741,394376,4873862
-112.3180995,44.0104087,394340,4873873
-112.3185499,44.01041813,394304,4873875
-112.3189958,44.0105092,394269,4873885
-112.3194428,44.01059866,394233,4873896
-112.3198889,44.01068961,394197,4873906
-112.320335,44.01078055,394162,4873917
-112.3208937,44.01087346,394117,4873928
-112.321443,44.01113257,394073,4873958
-112.3218818,44.01138504,394039,4873986
-112.3225461,44.01164078,393986,4874015
-112.3229832,44.01189732,393951,4874045
-112.323425,44.01207054,393916,4874064
-112.3238627,44.01232595,393882,4874093
-112.3243045,44.01249971,393847,4874113
-112.3247421,44.0127564,393812,4874142
-112.3252968,44.01293206,393768,4874162
-112.3257347,44.01318845,393733,4874191
-112.3261728,44.0134449,393698,4874221
-112.3266109,44.0137014,393664,4874250
-112.3270489,44.01395799,393629,4874279
-112.3273785,44.0141299,393603,4874298
-112.3278209,44.01430418,393568,4874318
-112.3282669,44.01439643,393532,4874329
-112.3287131,44.01448871,393497,4874340
-112.3293844,44.01458613,393443,4874351
-112.3297225,44.01459364,393416,4874353
-112.3302849,44.01460467,393371,4874355
-112.3307352,44.01461322,393335,4874356
-112.3311816,44.01470247,393299,4874367
-112.3316317,44.01471051,393263,4874368
-112.3320817,44.01471934,393227,4874370
-112.332644,44.01473344,393182,4874372
-112.333094,44.01474473,393146,4874374
-112.3337689,44.01476165,393092,4874377
-112.3341064,44.01477011,393065,4874378
-112.3345528,44.01486347,393029,4874389
-112.3351151,44.01487646,392984,4874391
-112.3356775,44.01488946,392939,4874393
-112.3361273,44.01489813,392903,4874395
-112.336577,44.01490681,392867,4874396
-112.3370302,44.01483434,392831,4874389
-112.33748,44.01484462,392795,4874391
-112.3380423,44.01485746,392750,4874393
-112.338383,44.01478307,392722,4874385
-112.3389486,44.01471381,392677,4874378
-112.3393984,44.01472408,392641,4874380
-112.339739,44.0146497,392613,4874372
-112.3404168,44.01458272,392559,4874365
-112.3407539,44.0145901,392532,4874367
-112.3412061,44.01451586,392495,4874359
-112.3416582,44.01444164,392459,4874351
-112.3421102,44.01436744,392423,4874344
-112.3426773,44.01421313,392377,4874327
-112.3431322,44.01405691,392340,4874310
-112.3436987,44.01390188,392294,4874294
-112.3440402,44.01374235,392267,4874277
-112.3444911,44.0136674,392231,4874269
-112.3450533,44.01359467,392185,4874262
-112.345502,44.01360441,392149,4874263
-112.3459506,44.01361413,392113,4874265
-112.3465161,44.01345936,392068,4874249
-112.3467425,44.01338077,392050,4874240
-112.3473032,44.01339324,392005,4874242
-112.3479739,44.01349178,391951,4874254
-112.3484207,44.01358573,391915,4874265
-112.3488685,44.01368132,391880,4874276
-112.3494363,44.01353179,391834,4874260
-112.3497764,44.01345863,391806,4874253
-112.3502315,44.01330592,391770,4874236
-112.3506842,44.01323595,391733,4874229
-112.351031,44.01291456,391705,4874194
-112.3513753,44.01267596,391677,4874168
-112.3517186,44.01243592,391649,4874142
-112.3522926,44.01203947,391602,4874098
-112.3526343,44.01188351,391575,4874082
-112.3530881,44.01173014,391538,4874065
-112.3534291,44.01157378,391510,4874048
-112.35377,44.01141756,391483,4874031
-112.3542257,44.01118251,391446,4874006
-112.3546809,44.0109467,391409,4873980
-112.3551346,44.01070957,391372,4873954
-112.3558156,44.01048156,391317,4873930
-112.3560437,44.01032247,391298,4873913
-112.3564985,44.01025559,391262,4873906
-112.3569534,44.01018869,391225,4873899
-112.3574176,44.00996272,391188,4873875
-112.3579872,44.00981644,391142,4873859
-112.3584443,44.00949954,391104,4873824
-112.3587853,44.00942799,391077,4873817
-112.3592421,44.00911117,391040,4873782
-112.3596969,44.00896016,391003,4873766
-112.3601517,44.00880916,390966,4873750
-112.3606078,44.00857576,390929,4873725
-112.3610636,44.0081756,390892,4873681
-112.3615213,44.00786062,390855,4873646
-112.3618703,44.00771182,390827,4873630
-112.3622192,44.00747969,390798,4873605
-112.3626821,44.00725162,390761,4873580
-112.3627976,44.00709056,390751,4873563
-112.3632515,44.00677333,390714,4873528
-112.3634855,44.00645369,390695,4873493
-112.3637224,44.00613613,390675,4873458
-112.3640679,44.00581907,390647,4873423
-112.3642934,44.00549468,390628,4873387
-112.3647472,44.00526116,390591,4873362
-112.365086,44.00502336,390564,4873336
-112.3654246,44.00478565,390536,4873310
-112.3658824,44.00455479,390499,4873285
-112.3662279,44.00440336,390471,4873269
-112.3665733,44.00416961,390443,4873243
-112.3669186,44.00393586,390415,4873218
-112.3673764,44.00362278,390378,4873184
-112.3678376,44.00339367,390340,4873159
-112.3681813,44.00315916,390312,4873133
-112.3685163,44.00263559,390284,4873075
