sample,layer,easting,northing,total(kg/m2),<=-4phi,<=-3.5phi,<=-3phi,<=-2.5phi,<=-2phi,<=-1.5phi, <=-1phi,<=-0.5phi,<=0phi,<=0.5phi,<=1phi,<=1.5phi,<=2phi,<=2.5phi,<=3phi,>3phi
68, m, 523856, 1377173, 38.16, 0.00, 0.00, 0.00, 0.00, 0.01, 0.09, 0.22, 0.51  , 1.08 , 3.00 , 4.37 , 6.43 , 6.74 , 4.19 , 2.61 , 8.93 
69, m, 524591, 1377489, 107.42, 0.00, 0.00, 0.00, 0.00, 0.03, 0.25, 0.34, 0.90 , 2.48 , 8.05 , 15.45 , 20.17 , 19.78 , 13.51 , 8.92 , 17.56 
70, m, 525564, 1377877, 328.26, 0.00, 0.00, 0.00, 0.00, 0.09, 0.71, 1.87, 6.59 , 17.55 , 39.12 , 44.11 , 55.87 , 46.33 , 26.29 , 17.46 , 72.26 
71, m, 526899, 1379123, 321.21, 0.00, 0.00, 0.51, 0.10, 2.66, 8.59, 21.48, 50.02 , 72.32 , 89.92 , 50.02 , 17.49 , 4.60 , 1.13 , 0.72 , 1.64 
72, a, 524505, 1380950, 171.98, 0.00, 0.00, 1.19, 3.71, 9.21, 24.10, 36.82, 45.28 , 29.60 , 13.51 , 4.50 , 2.08 , 0.94 , 0.45 , 0.35 , 0.25 
72, b, 524505, 1380950, 107.05, 0.00, 0.00, 0.00, 0.09, 0.25, 1.13, 3.41, 8.13 , 13.61 , 19.14 , 17.55 , 14.23 , 8.35 , 4.07 , 2.94 , 14.14 
73, m, 522646, 1380659, 288.55, 0.00, 0.00, 0.00, 0.28, 1.20, 5.70, 16.55, 43.31 , 66.21 , 63.26 , 37.79 , 16.46 , 11.49 , 5.43 , 2.94 , 17.93 
74, a, 526416, 1382894, 117.66, 0.00, 0.00, 0.00, 0.87, 2.01, 5.79, 12.53, 22.07 , 23.11 , 17.15 , 10.42 , 5.49 , 7.74 , 5.73 , 0.87 , 3.89 
74, b, 526416, 1382894, 337.11, 0.00, 0.00, 0.38, 0.00, 1.13, 3.77, 8.77, 21.41 , 42.16 , 70.27 , 63.57 , 36.69 , 17.17 , 13.21 , 12.07 , 46.50 
75, m, 527536, 1383362, 562.20, 0.00, 0.00, 2.02, 5.71, 18.64, 31.40, 49.20, 67.00 , 67.17 , 75.06 , 55.92 , 40.97 , 27.87 , 22.84 , 20.82 , 77.58 
76, m, 527796, 1382127, 835.70, 9.72, 4.16, 10.18, 20.59, 43.73, 93.01, 120.31, 178.38 , 170.52 , 117.53 , 51.13 , 12.49 , 3.01 , 0.93 , 0.00 , 0.00 
77, m, 527021, 1381806, 541.10, 0.00, 6.64, 25.50, 30.63, 42.70, 67.60, 77.41, 79.82  , 66.39 , 57.04 , 32.59 , 17.20 , 8.90 , 5.13 , 4.07 , 19.47 
78, m, 528675, 1382740, 419.25, 0.00, 2.56, 4.20, 12.12, 29.49, 61.54, 82.99, 88.12 , 61.19 , 37.41 , 14.34 , 10.49 , 4.90 , 4.90 , 2.10 , 2.91 
79, m,  528763, 1384430, 116.63, 0.00, 0.00, 0.69, 1.86, 3.50, 8.27, 15.24, 25.27 , 26.41 , 17.26 , 5.02 , 1.51 , 0.85 , 0.82 , 0.95 , 8.99 
80, m, 526617, 1379772, 641.81, 0.00, 0.00, 0.00, 4.01, 12.57, 26.88, 55.51, 107.35 , 126.55 , 159.71 , 97.40 , 38.40 , 9.25 , 1.75 , 0.87 , 1.57 
